コード,銘柄
1301,極 洋
1305,ｉＦＴＰＸ年１
1306,ＮＦＴＯＰＩＸ
1308,上場ＴＰＸ
1309,ＮＦ上証５０
130A,ＶＩＳ
1311,ＮＦＴＰＸ３０
1319,ＮＦＮＫ３００
131A,ＣＣＮＧ
1320,ｉＦ２２５年１
1321,ＮＦＮＫ２２５
1322,上場パンタ
1325,ＮＦブラジル
1326,ＳＰＤＲゴール
1328,ＮＦ金価格
1329,ｉＳ２２５
132A,アイエヌＨＤ
1330,上場２２５
1332,ニッスイ
1333,マルハニチロ
133A,ＧＸ超短米
1343,ＮＦＪ－ＲＥＩＴ
1345,上場Ｊリート
1346,ＭＸＳ２２５
1348,ＭＸＳトピクス
1349,アジア債券
134A,アプライズ
1356,ＴＰＸベア２
1357,ＮＦ日経ダ
1358,上場２倍
135A,ＶＲＡＩＮ
1360,日経ベア２
1364,ｉＳＪＰＸ４００
1365,ｉＦ２２５ダ
1366,ｉＦ２２５Ｗベ
1367,ｉＦＴＰＸダ
1368,ｉＦＴＰＸＷベ
1369,Ｏｎｅ２２５
136A,三興商事
1375,ユキグニ
1376,カネコ種
1377,サカタのタネ
1379,ホクト
137A,Ｃｏｃｏｌｉｖｅ
1380,秋川牧園
1381,アクシーズ
1382,ホーブ
1383,ベルグアース
1384,ホクリヨウ
138A,光フード
1397,ＳＭＤＡＭ２２５
1398,ＳＭＤＡＭ Ｊリ
1399,上場ボラ
139A,東日本地
1401,エムビーエス
1407,ウエストＨＤ
140A,ｉＦ米１０ベ
1414,ショーボンド
1417,ミライト・ワン
1418,インターライフ
1419,タマホーム
141A,トライアル
1420,サンヨーＨ
1429,日本アクア
142A,ジンジブ
1430,ファーストコポ
1431,リブワーク
1432,動 力
1433,ベステラ
1434,ＪＥＳＣＯ ＨＤ
1435,ｒｏｂｏｔｈｏｍ
1436,グリーンエナシ
1438,岐阜造園
143A,イシン
1443,技研ＨＤ
1444,ニッソウ
1445,ひかりＨＤ
1446,キャンディル
1447,ＳＡＡＦＨＤ
144A,エネルギーパ
1450,ＴＡＮＡＫＥＮ
1452,横浜ライト
1456,ｉＦ２２５ベア
1457,ｉＦＴＰＸベア
1458,楽天Ｄブル
1459,楽天Ｄベア
145A,エルイズビー
1466,ｉＦ４００Ｗベ
1469,４００ベア２
146A,コロンビア
1472,ＮＦＪ４００Ｄイ
1473,Ｏｎｅトピクス
1474,ＯｎｅＪＰ４００
1475,ｉＳＴＯＰＩＸ
1476,ｉＳＪリート
1477,ｉＳ分散
1478,ｉＳ高配当
1479,ｉＦ人材
147A,ソラコム
1480,ＮＦ企業価
1481,上場貢献
1482,米債ヘッジ
1483,ｉＳ設備
1484,Ｏｎｅ設備
1485,ＭＸＳ設備
1486,上場米債
1487,上米債ＨＥ
1488,ｉＦＪリート
1489,ＮＦ高配５０
148A,ハッチ・ワーク
1490,上場ベータ
1491,中外鉱
1493,Ｏｎｅ中小
1494,Ｏｎｅ高配
1495,上場アジア
1496,ＩＧ社債Ｈ
1497,ＨＹ社債Ｈ
1498,ＯｎｅＥＳＧ
1499,ＭＸＳ高ＭＮ
149A,シンカ
150A,ＪＳＨ
1514,住石ＨＤ
1515,日鉄鉱
1518,三井松島
151A,ダイブ
152A,オプティ
153A,カウリス
1540,純金信託
1541,純プラ信
1542,純銀信託
1543,純パラ信
1545,ＮＦナスヘ無
1546,ＮＦダウヘ無
1547,上場米国
154A,ＧＡＩＡ
1550,ＭＸＳ外株
1551,スタンダト２０
1554,上場ＭＳ世
1555,上場Ａリート
1557,ＳＰＤＲ５００
1559,ＮＦタイ株
155A,情報戦略
1560,ＮＦマレーシア
1563,グロース・コア
1566,上場ＥＭ債
1568,ＴＰＸ２倍
1569,ＴＰＸ－１倍
156A,マテリアルＧ
1570,ＮＦ日経レハ
1571,ＮＦ日経イン
